Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
1034,Surabaya,Jembatan Merah,Air Mancur Menari,Surabaya Museum (Gedung Siola),Taman Kunang-Kunang,,Taman Kunang-Kunang,,
1035,Yogyakarta,Desa Wisata Pulesari,Pantai Drini,Kampung Wisata Kadipaten,,,,,
1036,Surabaya,Taman Bungkul,Taman Mundu,Monumen Jalesveva Jayamahe,Masjid Muhammad Cheng Hoo,,Masjid Muhammad Cheng Hoo,,
1037,Surabaya,Taman Harmoni Keputih,Taman Ekspresi Dan Perpustakaan,Taman Buah Surabaya,Taman Mundu,,Taman Mundu,,
1038,Surabaya,Keraton Surabaya,Jembatan Merah,Keraton Surabaya,Air Mancur Menari,,Air Mancur Menari,,
1039,Bandung,Taman Lansia,Monumen Perjuangan Rakyat Jawa Barat,Rainbow Garden,Taman Balai Kota Bandung,Taman Vanda,Taman Balai Kota Bandung,Taman Vanda,Taman Vanda
1040,Semarang,Gua Maria Kerep Ambarawa,Wisata Lereng Kelir,Pantai Cipta,Semarang Contemporary Art Gallery, Pantai Cipta,Semarang Contemporary Art Gallery, Pantai Cipta, Pantai Cipta
1041,Yogyakarta,Puncak Kebun Buah Mangunan,Candi Borobudur,Gembira Loka Zoo,Kawasan Wisata Sosrowijayan,,Kawasan Wisata Sosrowijayan,,
1042,Semarang,Flower Farm Setiya Aji,Wisata Alam Wana Wisata Penggaron,Kampung Tematik Jawi,Durian Gardens and Tourism Education Watu Simbar,Wisata Lereng Kelir,Durian Gardens and Tourism Education Watu Simbar,Wisata Lereng Kelir,Wisata Lereng Kelir
1043,Yogyakarta,Pasar Beringharjo,Pasar Beringharjo,Kawasan Malioboro,Kampung Wisata Kadipaten,Pantai Krakal,Kampung Wisata Kadipaten,Pantai Krakal,Pantai Krakal
1044,Bandung,Kawah Putih,Curug Cipanas,Gua Pawon,Taman Balai Kota Bandung,Gunung Manglayang,Taman Balai Kota Bandung,Gunung Manglayang,Gunung Manglayang
1045,Jakarta,Pasar Taman Puring,Masjid Istiqlal,Pasar Taman Puring,Perpustakaan Nasional,,Perpustakaan Nasional,,
1046,Surabaya,Ciputra Waterpark,Taman Barunawati,Monumen Tugu Pahlawan,Hutan Pinus Kayon,,Hutan Pinus Kayon,,
1047,Jakarta,Taman Lapangan Banteng,Pulau Pramuka,Museum Fatahillah,Kota Tua,,Kota Tua,,
1048,Semarang,Grand Maerakaca,Candi Gedong Songo,Jembatan Biru Ambarawa,Tugu Muda Semarang,Museum Kereta Ambarawa,,Museum Kereta Ambarawa,Museum Kereta Ambarawa
1049,Surabaya,Hutan Bambu Keputih,Surabaya North Quay,Kenjeran Park,Klenteng Sanggar Agung,,Klenteng Sanggar Agung,,
1050,Jakarta,Museum Bank Indonesia,Pasar Petak Sembilan,Kota Tua,Museum Joang 45,,Museum Joang 45,,
1051,Jakarta,Masjid Istiqlal,Museum Sumpah Pemuda,Museum Basoeki Abdullah,Taman Lapangan Banteng,,Taman Lapangan Banteng,,
1052,Bandung,Curug Batu Templek,Kebun Tanaman Obat Sari Alam,Orchid Forest Cikole,Taman Sejarah Bandung,Chingu Cafe Little Seoul,Taman Sejarah Bandung,Chingu Cafe Little Seoul,Chingu Cafe Little Seoul
1053,Bandung,Taman Miniatur Kereta Api,Saung Angklung Mang Udjo,Curug Bugbrug,,,,,
1054,Surabaya,Masjid Kapal Semarang,Keraton Surabaya,Kebun Binatang Surabaya,Monumen Jalesveva Jayamahe,Museum Kesehatan Dr. Adhyatma,Monumen Jalesveva Jayamahe,Museum Kesehatan Dr. Adhyatma,Museum Kesehatan Dr. Adhyatma
1055,Jakarta,Taman Suropati,Museum Fatahillah,Taman Lapangan Banteng,Wisata Kuliner Pecenongan,,Wisata Kuliner Pecenongan,,
1056,Jakarta,Pulau Pari,Grand Indonesia Mall,Museum Nasional,Kota Tua,,Kota Tua,,
1057,Jakarta,Museum Basoeki Abdullah,Pulau Pelangi,Klenteng Jin De Yuan,Taman Suropati,,Taman Suropati,,
1058,Jakarta,Monas,Ocean Ecopark,Wisata Kuliner Pecenongan,Wisata Agro Edukatif Istana Susu Cibugary,Kota Tua,Wisata Agro Edukatif Istana Susu Cibugary,Kota Tua,Kota Tua
1059,Jakarta,Taman Impian Jaya Ancol,Kota Tua,Masjid Istiqlal,Taman Agrowisata Cilangkap,,Taman Agrowisata Cilangkap,,
1060,Surabaya,Taman Pelangi,Taman Buah Surabaya,Taman Ekspresi Dan Perpustakaan,Kebun Binatang Surabaya,Jembatan Merah,Kebun Binatang Surabaya,Jembatan Merah,Jembatan Merah
1061,Surabaya,Jembatan Merah,Museum Sepuluh Nopember Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Taman Flora Bratang Surabaya,Monumen Tugu Pahlawan,Taman Flora Bratang Surabaya,Monumen Tugu Pahlawan,Monumen Tugu Pahlawan
1062,Surabaya,Ciputra Waterpark,Taman Keputran,Keraton Surabaya,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
1063,Yogyakarta,Bukit Lintang Sewu,Wisata Kalibiru,Wisata Kalibiru,,,,,
1064,Yogyakarta,Lava Bantal,Puncak Kebun Buah Mangunan,Hutan Pinus Pengger,Bukit Wisata Pulepayung,Puncak Gunung Api Purba - Nglanggeran,Bukit Wisata Pulepayung,Puncak Gunung Api Purba - Nglanggeran,Puncak Gunung Api Purba - Nglanggeran
1065,Bandung,Masjid Pusdai,Museum Sri Baduga,NuArt Sculpture Park,Masjid Al-Imtizaj,Kyotoku Floating Market,Masjid Al-Imtizaj,Kyotoku Floating Market,Kyotoku Floating Market
1066,Bandung,Taman Film,Masjid Al-Imtizaj,Gunung Papandayan,Curug Luhur Waterfall,Kebun Binatang Bandung,Curug Luhur Waterfall,Kebun Binatang Bandung,Kebun Binatang Bandung
1067,Surabaya,Surabaya Museum (Gedung Siola),House of Sampoerna,Air Mancur Menari,Surabaya North Quay,,Surabaya North Quay,,
1068,Yogyakarta,Tugu Pal Putih Jogja,Candi Borobudur,Air Terjun Kedung Pedut,,,,,
1069,Semarang,Candi Gedong Songo,Semarang Contemporary Art Gallery,Pantai Cipta,Museum Kereta Ambarawa,Jembatan Biru Ambarawa,Museum Kereta Ambarawa,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
1070,Surabaya,Atlantis Land Surabaya,Taman Hiburan Rakyat,Balai Kota Surabaya,Museum De Javasche Bank,,Museum De Javasche Bank,,
1071,Yogyakarta,Monumen Sanapati,Pantai Kukup,Kebun Teh Nglinggo,,,,,
1072,Yogyakarta,Watu Lumbung,Pantai Sundak,Pantai Parangtritis,,,,,
1073,Bandung,Curug Cipanas,Sudut Pandang Bandung,Jendela Alam,Orchid Forest Cikole,Museum Pos Indonesia,Orchid Forest Cikole,Museum Pos Indonesia,Museum Pos Indonesia
1074,Yogyakarta,Bendung Lepen,Kawasan Malioboro,Bentara Budaya Yogyakarta (BBY),,,,,
1075,Bandung,Lawangwangi Creative Space,Taman Kupu-Kupu Cihanjuang,Kawasan Punclut,,,,,
1076,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Museum Macan (Modern and Contemporary Art in Nusantara),Mall Thamrin City,Tugu Proklamasi,,Tugu Proklamasi,,
1077,Bandung,Museum Mandala Wangsit Siliwangi,Taman Film,| Peta Park,Gunung Manglayang,Masjid Al-Imtizaj,Gunung Manglayang,Masjid Al-Imtizaj,Masjid Al-Imtizaj
1078,Surabaya,Atlantis Land Surabaya,Taman Bungkul,Museum Kesehatan Dr. Adhyatma,Taman Harmoni Keputih,,Taman Harmoni Keputih,,
1079,Yogyakarta,Kauman Pakualaman Yogyakarta,Pantai Drini,Air Terjun Kedung Pedut,,,,,
1080,Bandung,Jendela Alam,Water Park Bandung Indah,Curug Bugbrug,Mountain View Golf Club,Museum Mandala Wangsit Siliwangi,Mountain View Golf Club,Museum Mandala Wangsit Siliwangi,Museum Mandala Wangsit Siliwangi
1081,Semarang,Saloka Theme Park,Monumen Palagan Ambarawa,Kampung Tematik Jawi,Monumen Palagan Ambarawa,Pantai Marina,Monumen Palagan Ambarawa,Pantai Marina,Pantai Marina
1082,Jakarta,Taman Mini Indonesia Indah (TMII),Wisata Agro Edukatif Istana Susu Cibugary,Perpustakaan Nasional,Museum Fatahillah,,Museum Fatahillah,,
1083,Jakarta,Plaza Indonesia,Pulau Pari,Museum Basoeki Abdullah,Bumi Perkemahan Cibubur,,Bumi Perkemahan Cibubur,,
1084,Surabaya,Taman Harmoni Keputih,Kebun Binatang Surabaya,Kampoeng Rawa,Masjid Nasional Al-Akbar,,Masjid Nasional Al-Akbar,,
1085,Yogyakarta,Lava Bantal,The Lost World Castle,Kawasan Malioboro,,,,,
1086,Yogyakarta,Pantai Wediombo,Watu Mabur Mangunan,Desa Wisata Sungai Code Jogja Kota,,,,,
1087,Semarang,Museum Kereta Ambarawa,Durian Gardens and Tourism Education Watu Simbar,Masjid Agung Ungaran,,,,,
1088,Yogyakarta,Pantai Glagah,Hutan Pinus Pengger,Seribu Batu Songgo Langit,Puncak Gunung Api Purba - Nglanggeran,Taman Pelangi Yogyakarta,Puncak Gunung Api Purba - Nglanggeran,Taman Pelangi Yogyakarta,Taman Pelangi Yogyakarta
1089,Bandung,Caringin Tilu,Gereja Katedral Santo Petrus Bandung,Masjid Raya Bandung,Orchid Forest Cikole,Masjid Al-Imtizaj,Orchid Forest Cikole,Masjid Al-Imtizaj,Masjid Al-Imtizaj
1090,Bandung,Curug Bugbrug,Taman Lansia,Stone Garden Geopark,Taman Budaya Jawa Barat,Trans Studio Bandung,Taman Budaya Jawa Barat,Trans Studio Bandung,Trans Studio Bandung
1091,Bandung,Monumen Perjuangan Rakyat Jawa Barat,Kampung Korea Bandung,Ade Irma Suryani Nasution Traffic Park,Alun-Alun Kota Bandung,Museum Pos Indonesia,Alun-Alun Kota Bandung,Museum Pos Indonesia,Museum Pos Indonesia
1092,Bandung,Monumen Bandung Lautan Api,Masjid Al-Imtizaj,Museum Pendidikan Nasional,Rainbow Garden,Caringin Tilu,Rainbow Garden,Caringin Tilu,Caringin Tilu
1093,Jakarta,Tugu Proklamasi,Pulau Pelangi,Wisata Agro Edukatif Istana Susu Cibugary,Taman Cattleya,,Taman Cattleya,,
1094,Jakarta,Museum Satria Mandala,Museum Joang 45,Museum Tekstil,Wisata Agro Edukatif Istana Susu Cibugary,,Wisata Agro Edukatif Istana Susu Cibugary,,
1095,Surabaya,Patung Sura dan Buaya,Taman Kunang-Kunang,Taman Harmoni Keputih,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
1096,Jakarta,Museum Bahari Jakarta,Tugu Proklamasi,Jembatan Kota Intan,Museum Macan (Modern and Contemporary Art in Nusantara),,Museum Macan (Modern and Contemporary Art in Nusantara),,
1097,Jakarta,Taman Menteng,Taman Ayodya,Plaza Indonesia,Pasar Taman Puring,,Pasar Taman Puring,,
1098,Bandung,NuArt Sculpture Park,Rainbow Garden,Trans Studio Bandung,NuArt Sculpture Park,Rainbow Garden,NuArt Sculpture Park,Rainbow Garden,Rainbow Garden
1099,Bandung,Trans Studio Bandung,Curug Luhur Waterfall,Ade Irma Suryani Nasution Traffic Park,NuArt Sculpture Park,Kampung Korea Bandung,NuArt Sculpture Park,Kampung Korea Bandung,Kampung Korea Bandung
1100,Yogyakarta,Wisata Kaliurang,Taman Pelangi Yogyakarta,Pantai Indrayanti,Puncak Kebun Buah Mangunan,,Puncak Kebun Buah Mangunan,,
1101,Jakarta,Pasar Tanah Abang,Pasar Petak Sembilan,Pulau Tidung,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
1102,Semarang,Semarang Chinatown,Pura Giri Natha,Desa Wisata Lembah Kalipancur,Kampung Pelangi,Desa Wisata Lembah Kalipancur,Kampung Pelangi,Desa Wisata Lembah Kalipancur,Desa Wisata Lembah Kalipancur
1103,Jakarta,Pulau Pelangi,Gereja Katedral,Museum Layang-layang,Pasar Petak Sembilan,,Pasar Petak Sembilan,,
1104,Yogyakarta,Green Village Gedangsari,Puncak Kebun Buah Mangunan,Desa Wisata Pulesari,,,,,
1105,Bandung,Pesona Nirwana Waterpark & Cottages,Kiara Artha Park,Curug Malela,Kebun Binatang Bandung,Taman Balai Kota Bandung,Kebun Binatang Bandung,Taman Balai Kota Bandung,Taman Balai Kota Bandung
1106,Bandung,Glamping Lakeside Rancabali,Kawah Putih,Bukit Jamur,Curug Aseupan,Kyotoku Floating Market,Curug Aseupan,Kyotoku Floating Market,Kyotoku Floating Market
1107,Surabaya,Museum TNI AL Loka Jala Crana,Kampoeng Rawa,Museum Sepuluh Nopember Kota Surabaya,Rumah Batik,,Rumah Batik,,
1108,Jakarta,Ocean Ecopark,Wisata Agro Edukatif Istana Susu Cibugary,Museum Macan (Modern and Contemporary Art in Nusantara),Taman Agrowisata Cilangkap,,Taman Agrowisata Cilangkap,,
1109,Surabaya,Food Junction Grand Pakuwon,Atlantis Land Surabaya,Museum TNI AL Loka Jala Crana,Taman Hiburan Rakyat,,Taman Hiburan Rakyat,,
1110,Jakarta,Tugu Proklamasi,Museum Macan (Modern and Contemporary Art in Nusantara),Taman Menteng,Alive Museum Ancol,,Alive Museum Ancol,,
1111,Semarang,Pantai Marina,GPIB Immanuel Semarang (Gereja Blenduk),Watu Gunung Ungaran,Pantai Baruna,Wisata Lereng Kelir,Pantai Baruna,Wisata Lereng Kelir,Wisata Lereng Kelir
1112,Bandung,Panghegar Waterboom Bandung,NuArt Sculpture Park,Lawangwangi Creative Space,Curug Malela,Taman Budaya Jawa Barat,Curug Malela,Taman Budaya Jawa Barat,Taman Budaya Jawa Barat
1113,Surabaya,Patung Buddha Empat Rupa,Kampoeng Rawa,Taman Keputran,Museum Mpu Tantular,Taman Mundu,Museum Mpu Tantular,Taman Mundu,Taman Mundu
1114,Surabaya,Atlantis Land Surabaya,Masjid Muhammad Cheng Hoo,Masjid Kapal Semarang,Masjid Muhammad Cheng Hoo,,Masjid Muhammad Cheng Hoo,,
1115,Yogyakarta,Alun Alun Selatan Yogyakarta,Candi Prambanan,Candi Ijo,,,,,
1116,Bandung,Kota Mini,Stone Garden Geopark,Tebing Karaton,| Peta Park,NuArt Sculpture Park,| Peta Park,NuArt Sculpture Park,NuArt Sculpture Park
1117,Bandung,Curug Aseupan,Taman Sejarah Bandung,Taman Begonia,Gunung Manglayang,Museum Konferensi Asia Afrika,Gunung Manglayang,Museum Konferensi Asia Afrika,Museum Konferensi Asia Afrika
1118,Surabaya,Surabaya Museum (Gedung Siola),Museum Kesehatan Dr. Adhyatma,Masjid Muhammad Cheng Hoo,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
1119,Surabaya,Food Junction Grand Pakuwon,Balai Kota Surabaya,Museum Sepuluh Nopember Kota Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
1120,Jakarta,Pulau Pari,Taman Ayodya,Hutan Kota Srengseng,Museum Wayang,,Museum Wayang,,
1121,Surabaya,Hutan Bambu Keputih,Taman Air Mancur Menari Kenjeran,Klenteng Sanggar Agung,Rumah Batik,,Rumah Batik,,
1122,Bandung,Taman Vanda,Jendela Alam,Lembang Park & Zoo,Curug Cipanas,Taman Lansia,Curug Cipanas,Taman Lansia,Taman Lansia
1123,Surabaya,Hutan Pinus Kayon,Monumen Jalesveva Jayamahe,Jembatan Merah,Rumah Batik,Patung Sura dan Buaya,Rumah Batik,Patung Sura dan Buaya,Patung Sura dan Buaya
1124,Jakarta,Plaza Indonesia,Pasar Taman Puring,Taman Mini Indonesia Indah (TMII),Kota Tua,,Kota Tua,,
1125,Yogyakarta,Pantai Patihan,Geoforest Watu Payung Turunan,Galaxy Waterpark Jogja,,,,,
1126,Bandung,Kampung Korea Bandung,Curug Aseupan,Curug Anom,Stone Garden Geopark,Alun-Alun Kota Bandung,Stone Garden Geopark,Alun-Alun Kota Bandung,Alun-Alun Kota Bandung
1127,Semarang,Kota Lama Semarang,Kampung Pelangi,Kampoeng Kopi Banaran,,,,,
1128,Surabaya,Monumen Kapal Selam,Museum Kesehatan Dr. Adhyatma,Hutan Bambu Keputih,Museum Sepuluh Nopember Kota Surabaya,,Museum Sepuluh Nopember Kota Surabaya,,
1129,Semarang,Wisata Mangrove Tapak,Kampoeng Djadhoel Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Old City 3D Trick Art Museum,Brown Canyon,Old City 3D Trick Art Museum,Brown Canyon,Pulau Pramuka
1130,Semarang,Wisata Lereng Kelir,Indonesia Kaya Park,Wisata Alam Wana Wisata Penggaron,Wisata Eling Bening,Wisata Alam Wana Wisata Penggaron,Wisata Eling Bening,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
1131,Jakarta,Museum Taman Prasasti,Museum Basoeki Abdullah,Museum Nasional,Pasar Seni,,Pasar Seni,,
1132,Semarang,Pantai Marina,La Kana Chapel,Watu Gunung Ungaran,Kampung Pelangi,Taman Kasmaran,Kampung Pelangi,Taman Kasmaran,Taman Kasmaran
1133,Bandung,Masjid Raya Bandung,Taman Begonia,Taman Budaya Jawa Barat,Curug Anom,Gua Pawon,Curug Anom,Gua Pawon,Gua Pawon
1134,Jakarta,Mall Thamrin City,Mall Thamrin City,Pulau Pari,Museum Wayang,,Museum Wayang,,
1135,Surabaya,Taman Bungkul,Taman Harmoni Keputih,Jembatan Merah,Taman Hiburan Rakyat,,Taman Hiburan Rakyat,,
1136,Surabaya,Surabaya North Quay,Gereja Perawan Maria Tak Berdosa Surabaya,Taman Ekspresi Dan Perpustakaan,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
1137,Yogyakarta,Alun-alun Utara Keraton Yogyakarta,Seribu Batu Songgo Langit,Seribu Batu Songgo Langit,,,,,
1138,Bandung,Masjid Raya Bandung,Taman Budaya Jawa Barat,Caringin Tilu,Trans Studio Bandung,Ade Irma Suryani Nasution Traffic Park,Trans Studio Bandung,Ade Irma Suryani Nasution Traffic Park,Ade Irma Suryani Nasution Traffic Park
1139,Semarang,Hutan Wisata Tinjomoyo Semarang,La Kana Chapel,Old City 3D Trick Art Museum,Pantai Cipta,Umbul Sidomukti,Pantai Cipta,Umbul Sidomukti,Umbul Sidomukti
1140,Surabaya,Monumen Kapal Selam,| Food Junction Grand Pakuwon,Waterpark Kenjeran Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
1141,Semarang,Water Blaster Bukit Candi Golf,La Kana Chapel,Taman Srigunting,Pura Giri Natha,,Pura Giri Natha,,
1142,Yogyakarta,Candi Borobudur,Pantai Glagah,The World Landmarks - Merapi Park Yogyakarta,Pantai Parangtritis,,Pantai Parangtritis,,
1143,Jakarta,Bumi Perkemahan Cibubur,Taman Agrowisata Cilangkap,Bumi Perkemahan Cibubur,Museum Fatahillah,,Museum Fatahillah,,
1144,Bandung,Taman Miniatur Kereta Api,Jendela Alam,Museum Geologi Bandung,Panghegar Waterboom Bandung,Pesona Nirwana Waterpark & Cottages,Panghegar Waterboom Bandung,Pesona Nirwana Waterpark & Cottages,Pesona Nirwana Waterpark & Cottages
1145,Semarang,Pantai Cipta,Semarang Contemporary Art Gallery,Watu Gunung Ungaran,,,,,
1146,Yogyakarta,Gembira Loka Zoo,Sindu Kusuma Edupark (SKE),Bendung Lepen,,,,,
1147,Bandung,Sudut Pandang Bandung,Kampung Korea Bandung,Taman Hutan Raya Ir. H. Djuanda,,,,,
1148,Semarang, Pantai Cipta,Tugu Muda Semarang, Pantai Cipta,,,,,
1149,Bandung,Stone Garden Geopark,Kebun Binatang Bandung,Roemah Seni Sarasvati,Panghegar Waterboom Bandung,Gunung Manglayang,Panghegar Waterboom Bandung,Gunung Manglayang,Gunung Manglayang
1150,Yogyakarta,Tugu Pal Putih Jogja,Kampung Wisata Kadipaten,Tebing Breksi,,,,,
1151,Surabaya,Jembatan Merah,Museum Kesehatan Dr. Adhyatma,Taman Bungkul,Masjid Kapal Semarang,,Masjid Kapal Semarang,,
1152,Surabaya,Taman Bungkul,Food Junction Grand Pakuwon,Taman Mundu,Masjid Muhammad Cheng Hoo,Kenjeran Park,Masjid Muhammad Cheng Hoo,Kenjeran Park,Kenjeran Park
1153,Yogyakarta,Candi Borobudur,Hutan Pinus Asri,Pantai Wediombo,,,,,
1154,Jakarta,Galeri Nasional Indonesia,Klenteng Jin De Yuan,Pulau Bidadari,Museum Perangko,Galeri Indonesia Kaya,Museum Perangko,Galeri Indonesia Kaya,Galeri Indonesia Kaya
1155,Semarang,Kampoeng Djadhoel Semarang,Obyek Wisata Goa Kreo,Pantai Baruna,Taman Srigunting,Obyek Wisata Goa Kreo,Taman Srigunting,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo
1156,Semarang,Waduk Jatibarang,Desa Wisata Lembah Kalipancur,Pura Giri Natha,Tirto Argo Siwarak,Sam Poo Kong Temple,Tirto Argo Siwarak,Sam Poo Kong Temple,Sam Poo Kong Temple
1157,Surabaya,Kenjeran Park,Taman Mundu,Taman Ekspresi Dan Perpustakaan,Patung Buddha Empat Rupa,,Patung Buddha Empat Rupa,,
1158,Surabaya,Taman Air Mancur Menari Kenjeran,Museum Kesehatan Dr. Adhyatma,House of Sampoerna,Ekowisata Mangrove Wonorejo,,Ekowisata Mangrove Wonorejo,,
1159,Bandung,Rainbow Garden,Trans Studio Bandung,Kampung Korea Bandung,Taman Lansia,Jendela Alam,Taman Lansia,Jendela Alam,Jendela Alam
1160,Semarang,Taman Pandanaran,Brown Canyon,Tugu Muda Semarang,Taman Srigunting,Museum Kereta Ambarawa,Taman Srigunting,Museum Kereta Ambarawa,Museum Kereta Ambarawa
1161,Yogyakarta,Pantai Parangtritis,Sindu Kusuma Edupark (SKE),Taman Situ Lembang,Pasar Beringharjo,Pantai Ngrenehan,Pasar Beringharjo,Pantai Ngrenehan,Pantai Ngrenehan
1162,Bandung,Museum Geologi Bandung,Pesona Nirwana Waterpark & Cottages,Curug Luhur Waterfall,Roemah Seni Sarasvati,Stone Garden Geopark,Roemah Seni Sarasvati,Stone Garden Geopark,Stone Garden Geopark
1163,Jakarta,Freedom Library,Perpustakaan Nasional,Pulau Bidadari,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
1164,Jakarta,Gereja Katedral,Museum Layang-layang,Museum Tekstil,Taman Cattleya,,Taman Cattleya,,
1165,Bandung,Taman Hutan Raya Ir. H. Djuanda,Dago Dreampark,Curug Batu Templek,Museum Geologi Bandung,Lawangwangi Creative Space,Museum Geologi Bandung,Lawangwangi Creative Space,Lawangwangi Creative Space
1166,Jakarta,Perpustakaan Nasional,Galeri Indonesia Kaya,Museum Fatahillah,Alive Museum Ancol,,Alive Museum Ancol,,
1167,Jakarta,Museum Satria Mandala,Wisata Agro Edukatif Istana Susu Cibugary,Pasar Tanah Abang,Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
1168,Surabaya,Monumen Jalesveva Jayamahe,Klenteng Sanggar Agung,Kebun Binatang Surabaya,Monumen Bambu Runcing Surabaya,Kampoeng Rawa,Monumen Bambu Runcing Surabaya,Kampoeng Rawa,Kampoeng Rawa
1169,Surabaya,Masjid Muhammad Cheng Hoo,House of Sampoerna,Food Junction Grand Pakuwon,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
1170,Bandung,Curug Bugbrug,Kawasan Punclut,Curug Batu Templek,Taman Miniatur Kereta Api,Curug Tilu Leuwi Opat,Taman Miniatur Kereta Api,Curug Tilu Leuwi Opat,Curug Tilu Leuwi Opat
1171,Yogyakarta,Taman Pelangi Yogyakarta,Watu Mabur Mangunan,Pantai Sundak,,,,,
1172,Jakarta,Perpustakaan Nasional,Jembatan Kota Intan,Taman Agrowisata Cilangkap,Museum Bahari Jakarta,SnowBay Waterpark,Museum Bahari Jakarta,SnowBay Waterpark,SnowBay Waterpark
1173,Jakarta,Taman Impian Jaya Ancol,SnowBay Waterpark,Waterboom PIK (Pantai Indah Kapuk),Pulau Bidadari,,Pulau Bidadari,,
1174,Yogyakarta,Puncak Gunung Api Purba - Nglanggeran,Pantai Drini,Monumen Serangan Umum 1 Maret,Goa Pindul,,Goa Pindul,,
1175,Bandung,Situ Patenggang,Gunung Papandayan,Gunung Tangkuban Perahu,Kampung Korea Bandung,Alun-Alun Kota Bandung,Kampung Korea Bandung,Alun-Alun Kota Bandung,Alun-Alun Kota Bandung
1176,Jakarta,Museum Basoeki Abdullah,Museum Nasional,Museum Fatahillah,Gereja Katedral,,Gereja Katedral,,
1177,Yogyakarta,Pantai Indrayanti,Pantai Patihan,Pasar Beringharjo,Goa Rancang Kencono,Pantai Parangtritis,Goa Rancang Kencono,Pantai Parangtritis,Pantai Parangtritis
1178,Bandung,Panghegar Waterboom Bandung,Alun-Alun Kota Bandung,Gunung Papandayan,Lawangwangi Creative Space,Taman Sejarah Bandung,,Taman Sejarah Bandung,Taman Sejarah Bandung
1179,Surabaya,House of Sampoerna,Atlantis Land Surabaya,Taman Buah Surabaya,Hutan Bambu Keputih,,Hutan Bambu Keputih,,
1180,Jakarta,SnowBay Waterpark,Pasar Seni,Taman Menteng,Museum Nasional,Museum Joang 45,Museum Nasional,Museum Joang 45,Museum Joang 45
1181,Surabaya,Taman Bungkul,Monumen Tugu Pahlawan,Atlantis Land Surabaya,Balai Kota Surabaya,,Balai Kota Surabaya,,
1182,Jakarta,Museum Nasional,Taman Ayodya,Museum Joang 45,Wisata Kuliner Pecenongan,,Wisata Kuliner Pecenongan,,
1183,Bandung,Mountain View Golf Club,Mountain View Golf Club,Panghegar Waterboom Bandung,Orchid Forest Cikole,Museum Mandala Wangsit Siliwangi,Orchid Forest Cikole,Museum Mandala Wangsit Siliwangi,Museum Mandala Wangsit Siliwangi
1184,Surabaya,Taman Bungkul,Monumen Bambu Runcing Surabaya,Surabaya Museum (Gedung Siola),Taman Kunang-Kunang,,Taman Kunang-Kunang,,
1185,Surabaya,Hutan Bambu Keputih,Kebun Bibit Wonorejo,| Food Junction Grand Pakuwon,Taman Buah Surabaya,,Taman Buah Surabaya,,
1186,Yogyakarta,Pantai Ngrenehan,Alun-alun Utara Keraton Yogyakarta,Alun-alun Utara Keraton Yogyakarta,Pantai Nglambor,,Pantai Nglambor,,
1187,Bandung,Tafso Barn,Museum Gedung Sate,Gereja Katedral Santo Petrus Bandung,,,,,
1188,Semarang,Kota Lama Semarang,Old City 3D Trick Art Museum,Desa Wisata Lembah Kalipancur,Candi Gedong Songo,Pantai Baruna,Candi Gedong Songo,Pantai Baruna,Pantai Baruna
1189,Bandung,Taman Miniatur Kereta Api,Museum Mandala Wangsit Siliwangi,Bukit Jamur,Masjid Al-Imtizaj,Saung Angklung Mang Udjo,Masjid Al-Imtizaj,Saung Angklung Mang Udjo,Saung Angklung Mang Udjo
1190,Semarang,Desa Wisata Lembah Kalipancur,Semarang Contemporary Art Gallery,Hutan Wisata Tinjomoyo Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Durian Gardens and Tourism Education Watu Simbar,GPIB Immanuel Semarang (Gereja Blenduk),Durian Gardens and Tourism Education Watu Simbar,Durian Gardens and Tourism Education Watu Simbar
